"codiceOrigine","codiceMeccanografico","descrizione","annoCorsoInizio","durataAnni","terminale","attivo"
"354","PCEN","TRIENNIO SCIENTIFICO (B11) ""COMMISSIONE BROCCA""","","","NO","SI"
"355","PCEP","TRIENNIO LINGUISTICO (A21) ""COMMISSIONE BROCCA""","","","NO","SI"
"356","PCEQ","TRIENNIO SCIENTIFICO (B10) ""COMMISSIONE BROCCA""","","","NO","SI"
"357","PCER","BIENNIO SOCIO PSICO PEDAGOGICO (C9) ""COMMISSIONE BROCCA""","","","NO","SI"
"358","PCES","TRIENNIO SOCIO PSICO PEDAGOGICO(C13) ""COMMISSIONE BROCCA""","","","NO","SI"
"359","PCET","TRIENNIO CLASSICO (A8) ""COMMISSIONE BROCCA""","","","NO","SI"
"360","PCEU","QUINQUENNIO SOC. PS. PEDAGOGICO SC. MAG.LE ""COMMISSIONE BROCCA""","","","NO","SI"
"361","PCEV","C.M. 27 QUINQUENNIO LINGUISTICO SC. MAG.","","","NO","SI"
"362","PCEW","QUINQUENNIO LINGUISTICO (R1) ""COMMISSIONE BROCCA""","","","NO","SI"
"363","PCEX","C.M. 27 QUINQUENNIO PEDAGOGICO SOC.","","","NO","SI"
"364","PCEY","TRIENN. SOC. PS. PED. (R1) ""COMMISSIONE BROCCA""","","","NO","SI"
"365","PCEZ","LINGUA STRANIERA SEZ. MAG.LE (3-3-3)","","","NO","SI"
"366","PCF1","SOCIO PSICO PEDAGOGICO 8 ""COMM. BROCCA""","","","NO","SI"
"367","PCF2","SOCIO PSICO PEDAGOGICO 9 ""COMM. BROCCA""","","","NO","SI"
"368","PCF3","SOCIO PSICO PEDAGOGICO 11 ""COMM. BROCCA""","","","NO","SI"
"369","PCF4","SOCIO PSICO PEDAGOGICO 12 ""COMM. BROCCA""","","","NO","SI"
"370","PCF5","SOCIO PSICO PEDAGOGICO 13 ""COMM. BROCCA""","","","NO","SI"
"284","PCCM","BIENNIO CLASSICO (A7) COMMISSIONE BROCCA","","","NO","SI"
"194","PC9Z","C.M.27 TRIENNIO LINGUISTICO 4","","","NO","SI"
"195","PCA1","IBPC08001Q - LINGUISTICO ""PROG. PILOTA""","","","NO","SI"
"196","PCA2","BIENNIO LINGUISTICO (A20) - ""COMMISSIONE BROCCA""","","","NO","SI"
"197","PCA3","IBPC08001Q - SCIENTIFICO ""PROG. PILOTA""","","","NO","SI"
"198","PCA4","BIENNIO CLASSICO (A9) - ""COMMISSIONE BROCCA""","","","NO","SI"
"199","PCA5","BIENNIO CLASSICO (A8) - ""COMMISSIONE BROCCA""","","","NO","SI"
"200","PCA6","C.M. 27 BIENNIO LINGUSTICO 5","","","NO","SI"
"201","PCA7","C.M. 27 BIENNIO LINGUISTICO 6","","","NO","SI"
"202","PCA8","C.M. 27 BIENNIO LINGUISTICO 7","","","NO","SI"
"203","PCA9","C.M. 27 BIENNIO LINGUISTICO 8","","","NO","SI"
"204","PCAA","BIENNIO LINGUISTICO (A2) ""PROGETTO BROCCA""","","","NO","SI"
"205","PCAB","BIENNIO LINGUISTICO (A3) ""PROGETTO BROCCA""","","","NO","SI"
"206","PCAC","BIENNIO LINGUISTICO (A4) ""PROGETTO BROCCA""","","","NO","SI"
"207","PCAD","CLASSICO 19 ""COMMISSIONE BROCCA""","","","NO","SI"
"208","PCAE","BIENNIO CLASSICO (A2) ""PROGETTO BROCCA""","","","NO","SI"
"209","PCAF","BIENNIO CLASSICO (A3) ""PROGETTO BROCCA""","","","NO","SI"
"210","PCAG","QUINQUENNIO LINGUISTICO C.M. 27","","","NO","SI"
"211","PCAH","CLASSICO ""COMMISSIONE BROCCA""","","","NO","SI"
"212","PCAI","C.M.27 BIENNIO LINGUISTICO","","","NO","SI"
"213","PCAJ","BIENNIO SOC. PS. PEDAGOGICO (C6) - ""COMMISSIONE BROCCA""","","","NO","SI"
"214","PCAK","BIENNIO CLASSICO (A10) - ""COMMISSIONE BROCCA""","","","NO","SI"
"215","PCAL","SOCIO PSICO PEDAGOGICO COMMISSIONE BROCCA","","","NO","SI"
"216","PCAM","SOCIO-PSICO-PEDAGOGICO 1 ""COMM. BROCCA""","","","NO","SI"
"217","PCAN","QUINQUENNIO CLASSICO 1 ""COMMISSIONE BROCCA""","","","NO","SI"
"218","PCAP","P.N.I.(M.0-0-5-5-5/F 0-0-2-3-3) SEZ. SC MAT TN","","","NO","SI"
"219","PCAQ","P.N.I. (M.0-0-5-5-5/F.3-3-3-3-3) MAT. FIS. SEZ. SC","","","NO","SI"
"220","PCAR","PEDAGOGICO SOCIALE C.M. 27/91","","","NO","SI"
"221","PCAS","LINGUISTICO C.M.27/91","","","NO","SI"
"222","PCAT","BIENNIO SCIENTIFICO (B1) ""PROGETTO BROCCA""","","","NO","SI"
"223","PCAU","BIENNIO SCIENTIFICO (B2) ""PROGETTO BROCCA""","","","NO","SI"
"224","PCAV","BIENNIO LINGUISTICO (A5) ""PROGETTO BROCCA""","","","NO","SI"
"225","PCAW","BIENNIO SCIENTIFICO (B8) - ""COMMISSIONE BROCCA""","","","NO","SI"
"226","PCAX","IBPC08OO1Q - CLASSICO ""PROG. PILOTA""","","","NO","SI"
"227","PCAY","BIENNIO LINGUISTICO (A22) - ""COMMISSIONE BROCCA""","","","NO","SI"
"228","PCAZ","BIENNIO LINGUISTICO (A6) ""PROGETTO BROCCA""","","","NO","SI"
"229","PCB1","TRIENNIO SOC.PS.PEDAGOGICO (C5) ""COMMISSIONE BROCCA""","","","NO","SI"
"230","PCB2","C.M.27 BIENNIO PEDAGOGICO SOC. 4","","","NO","SI"
"231","PCB3","TRIENNIO SOC.PS.PEDAGOGICO (C6) ""COMMISSIONE BROCCA""","","","NO","SI"
"232","PCB4","TRIENNIO SCIENTIFICO (B4) ""COMMISSIONE BROCCA""","","","NO","SI"
"233","PCB5","TRIENNIO SCIENTIFICO (B5) ""COMMISSIONE BROCCA""","","","NO","SI"
"234","PCB6","QUINQUENNIO LINGUISTICO ""COMMISSIONE BROCCA""","","","NO","SI"
"235","PCB7","TRIENNIO LINGUISTICO (A11) ""COMMISSIONE BROCCA""","","","NO","SI"
"236","PCB8","C.M. 27 TRIENNIO PEDAGOG.CO SOC.4","","","NO","SI"
"237","PCB9","C.M. 27 PEDAGOGICO SOC. 3","","","NO","SI"
"238","PCBA","BIENNIO CLASSICO (A6) PROGETTO BROCCA","","","NO","SI"
"239","PCBB","BIENNIO SOC. PSI. PEDAG. (C1) PROGETTO BROCCA","","","NO","SI"
"240","PCBC","TRIENNIO CLASSICO (A) PROGETTO BROCCA","","","NO","SI"
"241","PCBD","TRIENNIO LINGUISTICO (A) PROGETTO BROCCA","","","NO","SI"
"242","PCBE","P.N.I. MATEMATICA (M 4-4-4-4/F0-0-2-2) SEZ.MG.","","","NO","SI"
"243","PCBF","CM27 BIENNIO PEDAGOGICO SOC.3","","","NO","SI"
"244","PCBG","CM27 BIENNIO PEDAGOGICO SOC 2","","","NO","SI"
"245","PCBH","II LINGUA STRANIERA SEZ.MAGISTRALE (3-3-3-3-)","","","NO","SI"
"246","PCBI","BIENNIO SOC.PSI. PEDAGOGICO (C2) COMMISSIONE BROCCA","","","NO","SI"
"247","PCBJ","IBPC03000N - CLASSICO ""PROG. PILOTA""","","","NO","SI"
"248","PCBK","BIENNIO LINGUISTICO (A18) - ""COMMISSIONE BROCCA""","","","NO","SI"
"249","PCBL","PEDAGOGICO SOCIALE AUTONOMO - ANPC010006","","","NO","SI"
"250","PCBM","BIENNIO LINGUISTICO (A19) - ""COMMISSIONE BROCCA""","","","NO","SI"
"251","PCBN","C.M. 27 BIENNIO LINGUISTICO 3","","","NO","SI"
"252","PCBP","TRIENNIO CLASSICO (A4) - COMMISSIONE BROCCA","","","NO","SI"
"253","PCBQ","TRIENNIO SOC.PS.PEDAGOGICO (C4) ""COMMISSIONE BROCCA""","","","NO","SI"
"254","PCBR","C.M. 27 BIENNIO LINGUISTICO 2","","","NO","SI"
"255","PCBS","PEDAGOGICO SOCIALE AUTONOMO - PGPC07000G","","","NO","SI"
"256","PCBT","BIENNIO LINGUISTICO (A7) COMMISSIONE BROCCA","","","NO","SI"
"257","PCBU","PSICO - PEDAGOGICO - NUPC02000R","","","NO","SI"
"258","PCBV","LINGUISTICO - RGPC06000P","","","NO","SI"
"259","PCBW","LINGUISTICO - INTERNAZIONALE - FRANCESE BOPC02000A","","","NO","SI"
"260","PCBX","QUINQUENNIO LINGUISTICO 3 ""COMMISSIONE BROCCA""","","","NO","SI"
"261","PCBY","SCIENTIFICO - INTERNAZIONALE - FRANCESE BOPC02000A","","","NO","SI"
"262","PCBZ","QUINQUENNIO LINGUISTICO 2 ""COMMISSIONE BROCCA""","","","NO","SI"
"263","PCC1","BIENNIO LINGUISTICO (A24) ""COMMISSIONE BROCCA""","","","NO","SI"
"264","PCC2","BIENNIO CLASSICO (A11) ""COMMISSIONE BROCCA""","","","NO","SI"
"265","PCC3","IBPC03000N - ECONOMICO AZIENDALE ""PROG.PILOTA""","","","NO","SI"
"266","PCC4","TRIENNIO  SC. TECNOLOGICO (C1) ""COMMISSIONE BROCCA""","","","NO","SI"
"267","PCC5","TRIENNIO SCIENTIFICO (B6) ""COMMISSIONE BROCCA""","","","NO","SI"
"268","PCC6","IBPC040008 - CLASSICO ""PROG.PILOTA""","","","NO","SI"
"269","PCC7","IBPC05000V - LINGUISTICO ""PROG.PILOTA""","","","NO","SI"
"270","PCC8","LINGUISTICO - PROGETTO PILOTA","1","5","SI","SI"
"271","PCC9","TRIENNIO LINGUISTICO (A 14) ""COMMISSIONE BROCCA""","","","NO","SI"
"272","PCCA","PEDAGOGICO - MIPC13000E","","","NO","SI"
"273","PCCB","LINGUISTICO - CTPC01000A","","","NO","SI"
"274","PCCC","BIENNIO LINGUISTICO (A8) COMMISSIONE BROCCA","","","NO","SI"
"275","PCCD","LINGUISTICO - FGPC05000G","","","NO","SI"
"276","PCCE","QUINQUENNIO LINGUISTICO 1 ""COMMISSIONE BROCCA""","","","NO","SI"
"277","PCCF","QUINQUENNIO SCIENTIFICO TECNOLOGICO 1 ""COMMISSIONE BROCCA""","","","NO","SI"
"278","PCCG","LINGUISTICO - MIPC140005","","","NO","SI"
"279","PCCH","FISICO MATEMATICA AUTONOMA -TOPC040008","","","NO","SI"
"280","PCCI","BIENNIO LINGUISTICO (A9) COMMISSIONE BROCCA","","","NO","SI"
"281","PCCJ","C.M. 27 TRIENNIO LINGUISTICO 8","","","NO","SI"
"282","PCCK","BIENNIO SOC. PS. PEDAGOGICO (C7) ""COMMISSIONE BROCCA""","","","NO","SI"
"192","PC9X","BIENNIO LINGUISTICO (A13) ""COMMISSIONE BROCCA""","","","NO","SI"
"193","PC9Y","C.M.27 TRIENNIO LINGUISTICO 2","","","NO","SI"
"100","LABU","BROCCA - BENI CULTURALI E CONSERVAZIONE","","","NO","SI"
"101","LABV","BROCCA - COMPOSIZIONE E PROGETTAZIONE","","","NO","SI"
"102","LABW","ARTE E RESTAURO DELLE OPERE PITTORICHE-MICH. 2","","","NO","SI"
"103","LASD","ARCHEOLOGIA - SASL020003","","","NO","SI"
"104","LASE","CONSERVAZIONE E RESTAURO - SASL020003","","","NO","SI"
"105","LASG","MATERIE COMUNI - GESL010504","","","NO","SI"
"106","LASH","MATERIE COMUNI - SASL020003","","","NO","SI"
"107","LASJ","AREA COMUNE - BIENNIO - LUSL010009","","","NO","SI"
"108","LASK","VISIVO AMBIENTALE","","","NO","SI"
"109","LASM","MATERIE COMUNI SPERIMENTALI I","","","NO","SI"
"110","LASP","PROGETTAZIONE ARTISTICA","","","NO","SI"
"111","LASQ","PIANO NAZIONALE INFORMATICA  TIPO A","","","NO","SI"
"112","LASR","PIANO NAZIONALE INFORMATICA  TIPO B","","","NO","SI"
"113","NA01","CAPITANI","","","NO","SI"
"114","NA02","COSTRUTTORI NAVALI","","","NO","SI"
"115","NA03","MACCHINISTI","","","NO","SI"
"116","NA05","INDIRIZZO GIURIDICO ECONOMICO AZIENDALE ""IGEA""","","","NO","SI"
"117","NA07","CAPITANI (ORIONE I) - MINISPERIMENTALE","","","NO","SI"
"118","NA08","COSTRUTTORI NAVALI (ORIONE I) - MINISPERIMENTALE","","","NO","SI"
"119","NA09","MACCHINISTI (ORIONE I) - MINISPERIMENTALE","","","NO","SI"
"120","NA10","CAPITANI (ORIONE II) - MINISPERIMENTALE","","","NO","SI"
"121","NA11","COSTRUTTORI NAVALI (ORIONE II) - MINISPERIMENTALE","","","NO","SI"
"122","NA12","MACCHINISTI (ORIONE II) - MINISPERIMENTALE","","","NO","SI"
"123","NA19","BIENNIO SPERIMENTALE","","","NO","SI"
"124","NA20","PROGETTO NAUTILUS - BIENNIO","","","NO","SI"
"125","NA21","PROGETTO NAUTILUS - I,II E III CLASSE","","","NO","SI"
"126","NA22","PROG.NAUTILUS - IV E V APPARATI E IMPIANTI MARITTIMI","","","NO","SI"
"127","NA23","PROG.NAUTILUS - IV E V TRASPORTO MARITTIMO","","","NO","SI"
"128","NA24","PROGETTO NAUTILUS - III, IV E V COSTRUZIONI NAVALI","","","NO","SI"
"129","NA25","SEZIONE GEOMETRI INDIRIZZO GENERALE","","","NO","SI"
"130","NA26","SPERIMENTALE EDILE TERRITORIALE AMBIENTE ""CINQUE""","","","NO","SI"
"131","NA27","INDIRIZZO GEN.LE GEOMETRI - PROSECUZIONE LINGUA STRANIERA","","","NO","SI"
"132","NA28","MODIFICA MATEMATICA E FISICA BIENNIO GEOMETRI P.N.I.","","","NO","SI"
"133","NAAA","SEZ.AERONAUTICA-PROG.ASSISTITO ALFA","","","NO","SI"
"134","NAAB","ORGANICO FUNZIONALE","","","NO","SI"
"135","PC00","SEZIONE CLASSICA","1","5","SI","SI"
"136","PC02","SEZIONE SCIENTIFICA","1","5","SI","SI"
"137","PC03","SEZIONE MAGISTRALE","","","NO","SI"
"138","PC04","SEZIONE SCUOLA MAGISTRALE","","","NO","SI"
"139","PC0A","TRIENNIO SOC.PS.PEDAGOGICO (C2) ""COMMISSIONE BROCCA""","","","NO","SI"
"140","PC0B","TRIENNIO CLASSICO (A1) ""COMMISSIONE BROCCA""","","","NO","SI"
"141","PC0C","TRIENNIO SOC.PS.PEDAGOGICO (C3) ""COMMISSIONE BROCCA""","","","NO","SI"
"142","PC0D","TRIENNIO SOC.PS.PEDAGOGICO (C1) ""COMMISSIONE BROCCA""","","","NO","SI"
"143","PC1N","BIENNIO LINGUISTICO (A14) - ""COMMISSIONE BROCCA""","","","NO","SI"
"144","PC2I","LINGUISTICO - CRPC02000A","","","NO","SI"
"145","PC3R","LINGUISTICO - RMPC100007","","","NO","SI"
"146","PC3U","SCIENTIFICO - RMPC27000A","","","NO","SI"
"147","PC41","P.N.I. MAT TN (M 0-0-5-5-5/F 0-0-2-3-3) SEZ. SC.","","","NO","SI"
"148","PC45","LINGUISTICO - VIPC04000X","","","NO","SI"
"149","PC4U","STORIA DELL'ARTE  7 (2-2-2-2-2) C.M. 295","","","NO","SI"
"150","PC5","CORSO SPERIMENTALE","","","NO","SI"
"151","PC5C","LINGUISTICO - TNPC01000Q","","","NO","SI"
"152","PC5G","ECONOMICO - AZIENDALE TURISTICO - PSPC020003","","","NO","SI"
"153","PC5H","ECONOMICO - AZIENDALE RAGIONIERI - PSPC020003","","","NO","SI"
"154","PC78","LINGUA STRANIERA  7  (2-2-2-2-2)","","","NO","SI"
"155","PC7A","DISEGNO (2-2-2-2-2)  SEZ. SC. A025","","","NO","SI"
"156","PC7J","I LINGUA STRANIERA 1  (4-4-2-2-2)","","","NO","SI"
"157","PC7K","I LINGUA STRANIERA 2 (4-4-3-3-2)","","","NO","SI"
"158","PC7L","I LINGUA STRANIERA 3 (4-4-3-3-3)","","","NO","SI"
"159","PC7M","I LINGUA STRANIERA 4 (4-4-3-2-2)","","","NO","SI"
"160","PC7N","I LINGUA STRANIERA 5 (5-5-2-2-2)","","","NO","SI"
"161","PC7R","I LINGUA STRANIERA 2 - SEZ.SCIENTIFICA C/O CLASSICO (3-3-3-3-3)","","","NO","SI"
"162","PC7Y","II LINGUA STRANIERA 2 - SEZ.SCIENTIFICA C/O CLASSICO (3-3-3-3-3)","","","NO","SI"
"163","PC80","LINGUA STRANIERA SEZ. MAG.LE C/O CLASS. (4-4-3-3) CLASSE A046","","","NO","SI"
"164","PC82","II LINGUA STRANIERA N.2 CLASSE A046 (0-2-3-3-3)","","","NO","SI"
"165","PC83","I LINGUA STRANIERA 8 CLASSE A046 (3-3-3-3-2)","","","NO","SI"
"166","PC8A","II LINGUA STRANIERA A046 (0-3-3-3-2)","","","NO","SI"
"167","PC8B","LINGUA STRANIERA 9 (0-2-2-2-2) A046","","","NO","SI"
"168","PC8C","II LINGUA STRANIERA (3-3-3-3-3) A046 C.M. 333","","","NO","SI"
"169","PC8D","BIENNIO SC. TECNOLOGICO (B) ""PROGETTO BROCCA""","","","NO","SI"
"170","PC8E","BIENNIO SOCIO PS. PEDAGOGICO (C) ""PROGETTO BROCCA""","","","NO","SI"
"171","PC8F","BIENNIO SCIENTIFICO (B) ""PROGETTO BROCCA""","","","NO","SI"
"172","PC8H","BIENNIO CLASSICO (A5) ""PROGETTO BROCCA""","","","NO","SI"
"173","PC8I","BIENNIO CLASSICO (A4) ""PROGETTO BROCCA""","","","NO","SI"
"174","PC8Z","TRIENNIO SC. TECNOLOGICO (C) - ""COMMISSIONE BROCCA""","","","NO","SI"
"175","PC96","C.M.27 TRIENNIO LINGUISTICO 1","","","NO","SI"
"176","PC97","BIENNIO LINGUISTICO (A12) ""COMMISSIONE BROCCA""","","","NO","SI"
"177","PC9A","TRIENNIO SCIENTIFICO (B2) ""COMMISSIONE BROCCA""","","","NO","SI"
"178","PC9B","PNI MAT E FIS (M4-4-4-4/F2-2-2-2)SEZ MAG","","","NO","SI"
"179","PC9C","TRIENNIO SCIENTIFICO (B1) ""COMMISSIONE BROCCA""","","","NO","SI"
"180","PC9D","MATEMATICA - P.N.I. - 1 - SEZ.SC.C/O CLA(M:5-5)","","","NO","SI"
"181","PC9E","II LINGUA STRANIERA (4-4-3-3-3) SEZ. SCIEN.","","","NO","SI"
"182","PC9F","TRIENNIO CLASSICO 2 (TB)","","","NO","SI"
"183","PC9G","TRIENNIO CLASSICO 1 (TB)","","","NO","SI"
"184","PC9H","BIENNIO CLASSICO SPERIMENTALE (TB)","","","NO","SI"
"185","PC9I","TRIENNIO LINGUISTICO (A2) ""COMMISSIONE BROCCA""","","","NO","SI"
"186","PC9K","BIENNIO SCIENTIFICO (B4) ""COMMISSIONE BROCCA""","","","NO","SI"
"187","PC9L","TRIENNIO LINGUISTICO (A1) ""COMMISSIONE BROCCA""","","","NO","SI"
"188","PC9N","BIENNIO LINGUISTICO (A10) ""COMMISSIONE BROCCA""","","","NO","SI"
"189","PC9O","BIENNIO LINGUISTICO (A11) BROCCA","","","NO","SI"
"98","LABS","ARTE E RESTAURO OPERE LIGNEE MICHELANGELO","","","NO","SI"
"99","LABT","BROCCA - ARTI E COMUNICAZIONE VISIVA","","","NO","SI"
"190","PC9S","DIRITTO/ECONOMIA BIENNIO CLASSE A019 (2-2)","","","NO","SI"
"191","PC9W","C.M.27 TRIENNIO LINGUISTICO 3","","","NO","SI"
"3","IA02","AGRO-INDUSTRIALE","","","NO","SI"
"4","IA03","MECCANICI CONDUCENTI DI MACCHINE AGRICOLE","","","NO","SI"
"5","IA04","VITICOLTURA ED ENOLOGIA - CNTA01000C","","","NO","SI"
"6","IA05","VITICOLTURA ED ENOLOGIA - AVTA01000Q","","","NO","SI"
