institute_name,institute_phone,institute_fax,institute_website,institute_email,institute_educational_email,institute_type,responsible_person,responsible_person_role,institute_address,institute_comune
ISTITUTO COMPRENSIVO TELVE,0461/766072,0461/777347,,,dir.ic.telve@scuole.provincia.tn.it,Pubblico,LUCCHIARI FRANCA,Dirigente scolastico,VIA PER BORGO,TELVE
ISTITUTO COMPRENSIVO TESERO,0462/813119,0462/813598,,,dir.icsemtesero@scuole.provincia.tn.it,Pubblico,PIZZARDO CANDIDA,Dirigente scolastico,VIA FIA,TESERO
ISTITUTO COMPRENSIVO TIONE,0465/321053,0465/324039,www.ictione.tn.it,ic.tione@pec.provincia.tn.it,dir.ictione@scuole.provincia.tn.it,Pubblico,CAPRONI MAURIZIO,Dirigente scolastico,VIALE DANTE ,TIONE DI TRENTO
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",0465/321735,0465/322811,www.guetti.tn.it,guetti@pec.provincia.tn.it,dirigente@iitione-tn.it,Pubblico,GULLI TIZIANA,Dirigente scolastico,VIA DURONE,TIONE DI TRENTO
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,0439/62435,0439/762466,www.scuoleprimiero.it,ic.primiero@pec.provincia.tn.it,dir.icprimiero@scuole.provincia.tn.it,Pubblico,NESLER ROMANO,Dirigente scolastico,VIA DELLE FONTI,TRANSACQUA
ISTITUTO SACRA FAMIGLIA,0461/265793,0461/260718,www.istituti.vivoscuola.it/sacramamiglia/,trentoscuolapssf@pec.it,sacrafamigliatrento@pssf.it,Religioso,TONELOTTO MARIA,Dirigente scolastico,VIA SALUGA,TRENTO
ISTITUTO MARIA SS.BAMBINA - TRENTO,0461/222217,0461/230489,www.scuolamariabambinatn.it,,dir.mariass.bambina@scuole.provincia.tn.it,Religioso,QUARTI MARISA,Dirigente scolastico,VIA BORSIERI,TRENTO
ISTITUTO COMPRENSIVO TRENTO 1,0461/912740,0461/912065,www.ictrento1.it,ic.trento1@pec.provincia.tn.it,dir.ic.tn1@scuole.provincia.tn.it,Pubblico,CETRANO NICOLA,Dirigente scolastico,VIA ZNOJMO,TRENTO
"ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""",0461/982113,0461/237554,www.icomenius.it,ic.comenius@pec.provincia.tn.it,dir.ictn2@scuole.provincia.tn.it,Pubblico,BOCCARDI MARIA SILVA,Dirigente scolastico,VIA PONTE ALTO,TRENTO
ISTITUTO COMPRENSIVO ALDENO MATTARELLO,0461/945237,0464/946007,www.icaldenomattarello.it,ic.aldeno-mattarello@pec.provincia.tn.it,dir.aldeno.mattarello@scuole.provincia.tn.it,Pubblico,DECARLI ANTONIETTA,Dirigente scolastico,VIA DELLA TORRE FRANCA,TRENTO
ISTITUTO COMPRENSIVO TRENTO 4,0461/920316,0461/922030,www.ictn4.it,ic.trento4@pec.provincia.tn.it,dir.ic.tn4@scuole.provincia.tn.it,Pubblico,MATTIVI VIGILIO,Dirigente scolastico,PIAZZALE EUROPA,TRENTO
ISTITUTO COMPRENSIVO TRENTO 5,0461/263331,0461/263951,http://www.istitutotrento5.it/,ic.tn5@pec.provincia.tn.it,dir.ic.tn5@scuole.provincia.tn.it,Pubblico,ROSA MICHELE,Dirigente scolastico,VIA SAN G.BOSCO,TRENTO
ISTITUTO COMPRENSIVO TRENTO 6,0461/236214,0461/230583,www.istitutocomprensivotrento6.it,ic.trento6@pec.provincia.tn.it,dir.ic.tn6@scuole.provincia.tn.it,Pubblico,PASQUALIN PAOLA,Dirigente scolastico,CORSO M.BUONARROTI,TRENTO
ISTITUTO COMPRENSIVO TRENTO 7,0461/990287,0461/994418,www.trento7.it,ic.trento7@pec.provincia.tn.it,dir.ic.tn7@scuole.provincia.tn.it,Pubblico,KIRCHNER  STEFANO,Dirigente scolastico,VIA 4 NOVEMBRE,TRENTO
ISTITUTO COMPRENSIVO TRENTO 3,0461/934977,0461/920605,http://www.ictrento3.it,ic.trento3@pec.provincia.tn.it,dir.ic.tn3@scuole.provincia.tn.it,Pubblico,MARTINELLI MARINA,Dirigente scolastico,VIA VITTORIO VENETO,TRENTO
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,0461/930658,0461/395742,www.scuolasteiner-trento.it,associazione@pec.scuolasteiner-trento.it,,Laico,RAIMONDO LEO,Dirigente scolastico,VIA E.CONCI,TRENTO
"ISTITUTO PROF.SERVIZI COMM.E TURISTICI ""L.Battisti"" - TRENTO",0461/914499,0461/915472,www.istitutobattisti.eu,,dir.ipsctbattisti@scuole.provincia.tn.it,Pubblico,POIAN MARINA,Dirigente scolastico,VIA P.A.MATTIOLI,TRENTO
"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",0461/216800,0461/984216,www.buonarroti.tn.it/,buonarroti@pec.provincia.tn.it,paolo.dalvit@buonarroti.tn.it,Pubblico,DALVIT PAOLO,Dirigente scolastico,VIA BRIGATA ACQUI,TRENTO
"ISTITUTO TECNICO COMMERCIALE ""A.Tambosi"" - TRENTO",0461/239955,0461/230175,www.tambosi.it,,dir.tambositn@scuole.provincia.tn.it,Pubblico,CARAMPIN FRANCESCA,Dirigente scolastico,VIA BRIGATA ACQUI,TRENTO
"ISTITUTO TECNICO TECNOLOGICO ""A.Pozzo"" - TRENTO",0461/239777,0461/985565,www.ittpozzo.it,pozzo@pec.provincia.tn.it,dir.ittpozzo@scuole.provincia.tn.it,Pubblico,MASSIMO ELINA,Dirigente scolastico,VIA BARBACOVI,TRENTO
"LICEO ""A. Rosmini"" - TRENTO",0461/914400,0461/914498,www.rosmini.eu,rosmini.trento@pec.provincia.tn.it,dir.rosmini.tn@scuole.provincia.tn.it,Pubblico,CAROLLO MATILDE,Dirigente scolastico,VIA B.MALFATTI,TRENTO
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO",0461/913479,0461/913367,www.lsgalilei.org/,galilei@pec.provincia.tn.it,dir.liceogalilei@scuole.provincia.tn.it,Pubblico,DALVIT FLAVIO,Dirigente scolastico,VIALE N. BOLOGNINI,TRENTO
"LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO",0461/984099,0461/986257,www.liceodavincitn.it,davinci@pec.provincia.tn.it,dir.liceodavinci@scuole.provincia.tn.it,Pubblico,TOMASI ALBERTO,Dirigente scolastico,VIA CRISTOFORO MADRUZZO ,TRENTO
"LICEO CLASSICO ""G.Prati"" - TRENTO",0461/980190,0461/980747,www.liceoprati.it,prati@pec.provincia.tn.it,dir.liceoprati@scuole.provincia.tn.it,Pubblico,PEZZO MARIA,Dirigente scolastico,VIA SANTA TRINITA',TRENTO
"ISTITUTO DI ISTRUZIONE DELLE ARTI ""Vittoria Bonporti Depero"" - TRENTO",0461/824422,0461/824345,http://vittoria.istitutodellearti.tn.it,vittoria@pec.provincia.tn.it,dsmassimo@istitutodellearti.tn.it,Pubblico,RASERA PAOLO,Dirigente scolastico,VIA  V. ZAMBRA,TRENTO
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,0461/1731200,0461/1731288,www.arcivescoviletrento.it,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,Religioso,AGOSTINI LAMBERTO,Dirigente scolastico,VIA MONS.C.ENDRICI,TRENTO
ISTITUTO SACRO CUORE - TRENTO,0461/981465,0461/982734,www.istitutosacrocuore.it,,,Religioso,DONATINI DARIO,Dirigente scolastico,PIAZZA SANTA T.VERZERI,TRENTO
ISTITUTO COMPRENSIVO TUENNO,0463/451531,0463/451531,www.ictuenno.it,ic.tuenno@pec.provincia.tn.it,dir.ictuenno@scuole.provincia.tn.it,Pubblico,PEGORETTI PIERA,Dirigente scolastico,VIA V.MAISTRELLI,TUENNO
ISTITUTO COMPRENSIVO VEZZANO,0461/864026,0461/864026,,,dir.ic.vezzano@scuole.provincia.tn.it,Pubblico,ANTONIOL ROSANNA,Dirigente scolastico,VIA D. ALIGHIERI,VEZZANO
ISTITUTO COMPRENSIVO VIGOLO VATTARO,0461/848878,0461/845217,www.icvigolovattaro.it,ic.vigolovattaro@pec.provincia.tn.it,dir.vigolovattaro@scuole.provincia.tn.it,Pubblico,TURRINI SARA,Dirigente scolastico,VIA G. GARIBALDI,VIGOLO VATTARO
ISTITUTO COMPRENSIVO VILLA LAGARINA,0464/411312,0464/411705,www.istituti.vivoscuola.it/ic-villalagarina,ic.villalagarina@pec.provincia.tn.it,dir.ic.villalagarina@scuole.provincia.tn.it,Pubblico,BROZ MANUELA,Dirigente scolastico,VIA STOCKSTADT AM RHEIN,VILLA LAGARINA
